Country,Lat,Long,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benin,9.30769,2.315834,BJ,4978489.0,5149496.0,5331805.0,5521761.0,5714215.0,5905552.0,6094272.0,6281644.0,6470275.0,6664102.0,6865946.0,7076728.0,7295400.0,7520556.0,7750003.0,7982223.0,8216893.0,8454790.0,8696915.0,8944713.0,9199254.0,9460829.0,9729254.0,10004594.0,10286839.0,10575962.0,10872072.0,11175192.0,11485035.0,11801151.0
Burkina Faso,12.238333,-1.561593,BF,8811033.0,9050086.0,9297110.0,9552473.0,9816584.0,10089880.0,10372734.0,10665552.0,10968722.0,11282696.0,11607951.0,11944589.0,12293097.0,12654624.0,13030576.0,13421935.0,13829173.0,14252029.0,14689725.0,15141098.0,15605211.0,16081915.0,16571252.0,17072791.0,17586029.0,18110616.0,18646350.0,19193236.0,19751466.0,20321383.0
Bangladesh,23.684994,90.356331,BD,103171957.0,105599125.0,107983708.0,110350641.0,112737684.0,115169933.0,117649927.0,120160571.0,122682818.0,125189655.0,127657862.0,130088709.0,132478077.0,134791598.0,136986429.0,139035505.0,140921154.0,142660381.0,144304164.0,145924795.0,147575433.0,149273134.0,151005733.0,152761413.0,154517385.0,156256287.0,157977151.0,159685421.0,161376713.0,163046173.0
Bulgaria,42.733883,25.48583,BG,8718289.0,8632367.0,8540164.0,8472313.0,8443591.0,8406067.0,8362826.0,8312068.0,8256786.0,8210624.0,8170172.0,8009142.0,7837161.0,7775327.0,7716860.0,7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0
Bahrain,25.930414,50.637772,BH,495927.0,509762.0,523082.0,536212.0,549590.0,563698.0,578661.0,594927.0,613697.0,636540.0,664610.0,697550.0,735140.0,778708.0,829846.0,889157.0,958423.0,1035924.0,1114645.0,1185075.0,1240864.0,1278153.0,1299942.0,1315029.0,1336073.0,1371853.0,1425793.0,1494077.0,1569440.0,1641164.0
Bahamas,25.03428,-77.39628,BS,256227.0,261007.0,266028.0,271065.0,275849.0,280179.0,283980.0,287363.0,290600.0,294063.0,298045.0,302618.0,307657.0,313123.0,318893.0,324848.0,331032.0,337387.0,343680.0,349600.0,354936.0,359583.0,363581.0,367162.0,370625.0,374200.0,377923.0,381749.0,385635.0,389486.0
Bosnia and Herzegovina,43.915886,17.679076,BA,4463422.0,4369320.0,4233673.0,4078940.0,3936527.0,3829049.0,3764419.0,3736070.0,3734338.0,3743353.0,3751176.0,3755514.0,3759389.0,3762179.0,3764194.0,3765332.0,3765422.0,3762791.0,3754261.0,3735945.0,3705478.0,3661173.0,3604972.0,3542598.0,3482106.0,3429362.0,3386263.0,3351534.0,3323929.0,3300998.0
Belarus,53.709807,27.953389,BY,10189348.0,10194050.0,10216470.0,10239050.0,10226955.0,10193831.0,10159569.0,10117433.0,10071963.0,10026738.0,9979610.0,9928549.0,9865548.0,9796749.0,9730146.0,9663915.0,9604924.0,9560953.0,9527985.0,9504583.0,9483836.0,9461643.0,9446836.0,9443211.0,9448515.0,9461076.0,9469379.0,9458989.0,9438785.0,9419758.0
Belize,17.189877,-88.49765,BZ,187554.0,191136.0,194324.0,197625.0,201679.0,206962.0,213660.0,221575.0,230248.0,238979.0,247310.0,255068.0,262387.0,269428.0,276516.0,283798.0,291338.0,299031.0,306822.0,314655.0,322465.0,330236.0,338001.0,345707.0,353366.0,360926.0,368399.0,375775.0,383071.0,390351.0
Bermuda,32.321384,-64.75737,BM,59326.0,59021.0,58595.0,58910.0,59320.0,59746.0,60129.0,60497.0,60943.0,61285.0,61833.0,62504.0,62912.0,63325.0,63740.0,64154.0,64523.0,64888.0,65273.0,65636.0,65124.0,64564.0,64798.0,65001.0,65138.0,65237.0,64554.0,63873.0,63919.0,63913.0
Bolivia,-16.290154,-63.588653,BO,6864839.0,7011456.0,7160917.0,7312857.0,7466792.0,7622334.0,7779268.0,7937453.0,8096761.0,8257066.0,8418270.0,8580244.0,8742822.0,8905820.0,9069044.0,9232301.0,9395449.0,9558438.0,9721457.0,9884790.0,10048597.0,10212951.0,10377677.0,10542375.0,10706517.0,10869732.0,11031822.0,11192853.0,11353140.0,11513102.0
Brazil,-14.235004,-51.92528,BR,149003225.0,151648007.0,154259382.0,156849086.0,159432717.0,162019889.0,164614682.0,167209046.0,169785253.0,172318674.0,174790339.0,177196051.0,179537523.0,181809244.0,184006479.0,186127108.0,188167353.0,190130445.0,192030362.0,193886505.0,195713637.0,197514541.0,199287292.0,201035904.0,202763744.0,204471759.0,206163056.0,207833825.0,209469320.0,211049519.0
Barbados,13.193887,-59.543198,BB,260933.0,261912.0,262890.0,263869.0,264893.0,265955.0,267047.0,268183.0,269334.0,270455.0,271511.0,272494.0,273423.0,274331.0,275283.0,276320.0,277475.0,278701.0,279946.0,281107.0,282131.0,282987.0,283698.0,284294.0,284825.0,285327.0,285798.0,286229.0,286640.0,287021.0
Brunei,4.535277,114.727669,BN,258714.0,266208.0,273888.0,281684.0,289452.0,297112.0,304620.0,311962.0,319135.0,326214.0,333166.0,340037.0,346777.0,353295.0,359434.0,365112.0,370262.0,374967.0,379418.0,383902.0,388634.0,393687.0,398997.0,404414.0,409778.0,414914.0,419791.0,424481.0,428960.0,433296.0
Bhutan,27.514162,90.433601,BT,530801.0,534637.0,534525.0,532590.0,531905.0,534629.0,541471.0,551713.0,564378.0,577886.0,591014.0,603643.0,616025.0,627840.0,638809.0,648744.0,657404.0,664873.0,671611.0,678329.0,685502.0,693297.0,701582.0,710235.0,719053.0,727885.0,736706.0,745563.0,754396.0,763094.0
Botswana,-22.328474,24.684866,BW,1286756.0,1326321.0,1363541.0,1399110.0,1434061.0,1469173.0,1504724.0,1540424.0,1575827.0,1610260.0,1643333.0,1674674.0,1704637.0,1734387.0,1765533.0,1799077.0,1835911.0,1875458.0,1915636.0,1953495.0,1987106.0,2015406.0,2039551.0,2062551.0,2088619.0,2120716.0,2159925.0,2205076.0,2254067.0,2303703.0
Central African Republic,6.611111,20.939444,CF,2806740.0,2878507.0,2959236.0,3046148.0,3135017.0,3222662.0,3308235.0,3392432.0,3475485.0,3558019.0,3640421.0,3722016.0,3802129.0,3881185.0,3959883.0,4038380.0,4118075.0,4198004.0,4273368.0,4337623.0,4386765.0,4418639.0,4436411.0,4447945.0,4464171.0,4493171.0,4537683.0,4596023.0,4666375.0,4745179.0
Canada,56.130366,-106.346771,CA,27691138.0,28037420.0,28371264.0,28684764.0,29000663.0,29302311.0,29610218.0,29905948.0,30155173.0,30401286.0,30685730.0,31020902.0,31360079.0,31644028.0,31940655.0,32243753.0,32571174.0,32889025.0,33247118.0,33628895.0,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545236.0,37065084.0,37601230.0
Switzerland,46.818188,8.227512,CH,6715519.0,6799978.0,6875364.0,6938265.0,6993795.0,7040687.0,7071850.0,7088906.0,7110001.0,7143991.0,7184250.0,7229854.0,7284753.0,7339001.0,7389625.0,7437115.0,7483934.0,7551117.0,7647675.0,7743831.0,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8451840.0,8514329.0,8575280.0
Chile,-35.675147,-71.542969,CL,13274617.0,13495255.0,13719818.0,13944934.0,14166346.0,14380864.0,14587367.0,14786227.0,14977736.0,15162801.0,15342350.0,15516112.0,15684413.0,15849649.0,16014972.0,16182713.0,16354507.0,16530201.0,16708255.0,16886184.0,17062531.0,17233584.0,17400359.0,17571511.0,17758969.0,17969356.0,18209072.0,18470435.0,18729166.0,18952035.0
China,35.86166,104.195397,CN,1135185000.0,1150780000.0,1164970000.0,1178440000.0,1191835000.0,1204855000.0,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0
Côte d'Ivoire,7.539989,-5.54708,CI,11924873.0,12362404.0,12812428.0,13271638.0,13735438.0,14199759.0,14665125.0,15130674.0,15589407.0,16032573.0,16454660.0,16853027.0,17231539.0,17599613.0,17970493.0,18354513.0,18754914.0,19171250.0,19605568.0,20059147.0,20532944.0,21028652.0,21547188.0,22087506.0,22647672.0,23226148.0,23822726.0,24437475.0,25069226.0,25716554.0
Cameroon,7.369722,12.354722,CM,11780086.0,12137912.0,12499499.0,12864091.0,13230978.0,13599984.0,13970812.0,14344444.0,14723772.0,15112598.0,15513944.0,15928910.0,16357605.0,16800869.0,17259322.0,17733408.0,18223677.0,18730283.0,19252674.0,19789922.0,20341236.0,20906392.0,21485267.0,22077300.0,22681853.0,23298376.0,23926549.0,24566070.0,25216261.0,25876387.0
Congo [DRC],-4.038333,21.758664,CD,34612023.0,35908240.0,37333917.0,38815835.0,40252973.0,41576239.0,42757239.0,43827191.0,44849968.0,45919615.0,47105830.0,48428534.0,49871670.0,51425583.0,53068869.0,54785894.0,56578046.0,58453687.0,60411195.0,62448572.0,64563853.0,66755151.0,69020749.0,71358804.0,73767445.0,76244532.0,78789130.0,81398765.0,84068092.0,86790568.0
Congo [Republic],-0.228021,15.827659,CG,2356740.0,2422312.0,2489945.0,2559880.0,2632345.0,2707532.0,2785815.0,2867283.0,2951651.0,3038432.0,3127420.0,3217930.0,3310376.0,3406915.0,3510468.0,3622775.0,3745143.0,3876123.0,4011487.0,4145400.0,4273738.0,4394842.0,4510197.0,4622757.0,4736965.0,4856093.0,4980996.0,5110701.0,5244363.0,5380504.0
Colombia,4.570868,-74.297333,CO,33102569.0,33758328.0,34422568.0,35091272.0,35758978.0,36421438.0,37076387.0,37723803.0,38364307.0,38999468.0,39629965.0,40255956.0,40875363.0,41483872.0,42075953.0,42647731.0,43200901.0,43737512.0,44254972.0,44750054.0,45222699.0,45662747.0,46075721.0,46495492.0,46967706.0,47520667.0,48175048.0,48909844.0,49661056.0,50339443.0
Comoros,-11.875001,43.872219,KM,411598.0,423873.0,436454.0,449270.0,462280.0,475394.0,488625.0,501955.0,515382.0,528853.0,542358.0,555895.0,569480.0,583213.0,597230.0,611625.0,626427.0,641624.0,657227.0,673251.0,689696.0,706578.0,723865.0,741511.0,759390.0,777435.0,795597.0,813890.0,832322.0,850891.0
Cape Verde,16.002082,-24.013197,CV,337953.0,346229.0,355763.0,366057.0,376409.0,386288.0,395533.0,404248.0,412513.0,420456.0,428178.0,435701.0,442955.0,449925.0,456619.0,463034.0,469171.0,475067.0,480846.0,486667.0,492644.0,498858.0,505241.0,511740.0,518276.0,524740.0,531140.0,537499.0,543764.0,549936.0
Costa Rica,9.748917,-83.753428,CR,3119436.0,3202083.0,3286525.0,3372298.0,3458829.0,3545524.0,3632361.0,3718952.0,3803893.0,3885428.0,3962369.0,4034074.0,4100922.0,4164053.0,4225156.0,4285504.0,4345421.0,4404626.0,4463123.0,4520739.0,4577371.0,4633086.0,4688003.0,4742111.0,4795390.0,4847805.0,4899336.0,4949955.0,4999443.0,5047561.0
Cuba,21.521757,-77.781167,CU,10596986.0,10673534.0,10736386.0,10789312.0,10838461.0,10888246.0,10939285.0,10989730.0,11038706.0,11084673.0,11126423.0,11164676.0,11199664.0,11229185.0,11250369.0,11261586.0,11261241.0,11251117.0,11236975.0,11226711.0,11225833.0,11236671.0,11257112.0,11282722.0,11306909.0,11324777.0,11335108.0,11339255.0,11338146.0,11333484.0
Cayman Islands,19.513469,-80.566956,KY,25307.0,26540.0,27784.0,29068.0,30521.0,32161.0,34065.0,36155.0,38330.0,40423.0,42305.0,43934.0,45347.0,46624.0,47899.0,49261.0,50729.0,52280.0,53835.0,55321.0,56672.0,57877.0,58963.0,59933.0,60848.0,61721.0,62564.0,63382.0,64172.0,64948.0
Cyprus,35.126413,33.429859,CY,766616.0,783121.0,800610.0,818750.0,837104.0,855391.0,873426.0,891190.0,908710.0,926049.0,943288.0,960274.0,976968.0,993562.0,1010410.0,1027657.0,1045508.0,1063708.0,1081568.0,1098089.0,1112617.0,1124837.0,1135046.0,1143866.0,1152297.0,1160987.0,1170189.0,1179685.0,1189262.0,1198574.0
Czech Republic,49.817492,15.472962,CZ,10333355.0,10308578.0,10319123.0,10329855.0,10333587.0,10327253.0,10315241.0,10304131.0,10294373.0,10283860.0,10255063.0,10216605.0,10196916.0,10193998.0,10197101.0,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,10671870.0
Germany,51.165691,10.451526,DE,79433029.0,80013896.0,80624598.0,81156363.0,81438348.0,81678051.0,81914831.0,82034771.0,82047195.0,82100243.0,82211508.0,82349925.0,82488495.0,82534176.0,82516260.0,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0
Djibouti,11.825138,42.590275,DJ,590393.0,606843.0,615050.0,618504.0,622364.0,630385.0,643649.0,660858.0,680465.0,699973.0,717577.0,733019.0,746947.0,759639.0,771599.0,783248.0,794554.0,805456.0,816361.0,827820.0,840194.0,853671.0,868136.0,883296.0,898707.0,913998.0,929117.0,944100.0,958923.0,973557.0
Dominica,15.414999,-61.370976,DM,70422.0,70377.0,70546.0,70818.0,71044.0,71105.0,70933.0,70592.0,70183.0,69828.0,69650.0,69671.0,69840.0,70102.0,70387.0,70580.0,70718.0,70797.0,70829.0,70848.0,70877.0,70912.0,70954.0,71019.0,71091.0,71175.0,71307.0,71460.0,71626.0,71808.0
Denmark,56.26392,9.501785,DK,5140939.0,5154298.0,5171370.0,5188628.0,5206180.0,5233373.0,5263074.0,5284991.0,5304219.0,5321799.0,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0
Dominican Republic,18.735693,-70.162651,DO,7133491.0,7270413.0,7408339.0,7546467.0,7683707.0,7819239.0,7952766.0,8084407.0,8214427.0,8343288.0,8471317.0,8598599.0,8724974.0,8850317.0,8974444.0,9097262.0,9218681.0,9338856.0,9458079.0,9576736.0,9695117.0,9813219.0,9930916.0,10048226.0,10165182.0,10281675.0,10397738.0,10513111.0,10627147.0,10738957.0
Algeria,28.033886,1.659626,DZ,25758872.0,26400468.0,27028330.0,27635517.0,28213777.0,28757788.0,29266415.0,29742980.0,30192750.0,30623406.0,31042238.0,31451513.0,31855110.0,32264159.0,32692153.0,33149720.0,33641007.0,34166976.0,34730604.0,35333882.0,35977451.0,36661438.0,37383899.0,38140135.0,38923688.0,39728020.0,40551398.0,41389174.0,42228415.0,43053054.0
Ecuador,-1.831239,-78.183406,EC,10230931.0,10472476.0,10716131.0,10961460.0,11207999.0,11455205.0,11703169.0,11951457.0,12198449.0,12442109.0,12681123.0,12914660.0,13143465.0,13369678.0,13596390.0,13825839.0,14059379.0,14296554.0,14535740.0,14774412.0,15011114.0,15243885.0,15474099.0,15707473.0,15951832.0,16212022.0,16491116.0,16785356.0,17084359.0,17373657.0
Egypt,26.820553,30.802498,EG,56134478.0,57424552.0,58666812.0,59880656.0,61095804.0,62334025.0,63601632.0,64892269.0,66200259.0,67515591.0,68831561.0,70152662.0,71485044.0,72826102.0,74172073.0,75523576.0,76873670.0,78232124.0,79636081.0,81134789.0,82761244.0,84529251.0,86422240.0,88404652.0,90424668.0,92442549.0,94447071.0,96442590.0,98423602.0,100388076.0
Eritrea,15.179384,39.782334,ER,2258649.0,2266356.0,2257593.0,2238631.0,2218436.0,2204227.0,2196467.0,2195192.0,2206439.0,2237412.0,2292413.0,2374721.0,2481059.0,2600972.0,2719809.0,2826653.0,2918209.0,2996540.0,3062782.0,3119920.0,3170437.0,3213969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,40.463667,-3.74922,ES,38867322.0,38966376.0,39157685.0,39361262.0,39549108.0,39724050.0,39889852.0,40057389.0,40223509.0,40386875.0,40567864.0,40850412.0,41431558.0,42187645.0,42921895.0,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,47134837.0
Estonia,58.595272,25.013607,EE,1569174.0,1561314.0,1533091.0,1494128.0,1462514.0,1436634.0,1415594.0,1399535.0,1386156.0,1390244.0,1396985.0,1388115.0,1379350.0,1370720.0,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326855.0
Ethiopia,9.145,40.489673,ET,47887864.0,49609976.0,51423591.0,53295556.0,55180993.0,57047906.0,58883531.0,60697443.0,62507724.0,64343008.0,66224809.0,68159422.0,70142090.0,72170581.0,74239508.0,76346310.0,78489205.0,80674343.0,82916236.0,85233923.0,87639962.0,90139928.0,92726982.0,95385793.0,98094264.0,100835453.0,103603461.0,106399926.0,109224410.0,112078727.0
Finland,61.92411,25.748151,FI,4986431.0,5013740.0,5041992.0,5066447.0,5088333.0,5107790.0,5124573.0,5139835.0,5153498.0,5165474.0,5176209.0,5188008.0,5200598.0,5213014.0,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0
Fiji,-16.578193,179.414413,FJ,728575.0,735398.0,744470.0,754962.0,765607.0,775428.0,784389.0,792736.0,800148.0,806302.0,811011.0,813923.0,815257.0,816078.0,817864.0,821606.0,827869.0,836185.0,845356.0,853636.0,859816.0,863451.0,865065.0,865602.0,866447.0,868632.0,872406.0,877460.0,883490.0,889955.0
France,46.227638,2.213749,FR,58235716.0,58559309.0,58851216.0,59106758.0,59327200.0,59541904.0,59753095.0,59964841.0,60186284.0,60496708.0,60912500.0,61357432.0,61805266.0,62244880.0,62704901.0,63179356.0,63621376.0,64016227.0,64374979.0,64707035.0,65027505.0,65342789.0,65659814.0,65998685.0,66312067.0,66548272.0,66724104.0,66918020.0,67101930.0,67248926.0
Faroe Islands,61.892635,-6.911806,FO,47276.0,47123.0,46746.0,46277.0,45848.0,45625.0,45624.0,45789.0,46094.0,46428.0,46738.0,46999.0,47235.0,47439.0,47600.0,47731.0,47793.0,47825.0,47822.0,47814.0,47803.0,47815.0,47843.0,47901.0,47965.0,48055.0,48173.0,48326.0,48497.0,48677.0
Micronesia,7.425554,150.550812,FM,96304.0,98779.0,101386.0,103901.0,106030.0,107535.0,108311.0,108473.0,108206.0,107769.0,107405.0,107170.0,107027.0,106902.0,106624.0,106135.0,105374.0,104442.0,103549.0,102971.0,102916.0,103448.0,104506.0,105922.0,107444.0,108886.0,110215.0,111461.0,112640.0,113811.0
Gabon,-0.803689,11.609444,GA,949493.0,975785.0,1002573.0,1029769.0,1057252.0,1084951.0,1112944.0,1141332.0,1170061.0,1199058.0,1228359.0,1258008.0,1288310.0,1319946.0,1353788.0,1390550.0,1430144.0,1472565.0,1518538.0,1568925.0,1624146.0,1684629.0,1749677.0,1817070.0,1883801.0,1947690.0,2007882.0,2064812.0,2119275.0,2172578.0
United Kingdom,55.378051,-3.435973,GB,57247586.0,57424897.0,57580402.0,57718614.0,57865745.0,58019030.0,58166950.0,58316954.0,58487141.0,58682466.0,58892514.0,59119673.0,59370479.0,59647577.0,59987905.0,60401206.0,60846820.0,61322463.0,61806995.0,62276270.0,62766365.0,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0
Georgia,42.315407,43.356892,GE,4802000.0,4835900.0,4873500.0,4911100.0,4836076.0,4657722.0,4491699.0,4349913.0,4243607.0,4157192.0,4077131.0,4014373.0,3978515.0,3951736.0,3927340.0,3902469.0,3880347.0,3860158.0,3848449.0,3814419.0,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,3720161.0
Ghana,7.946527,-1.023194,GH,14773274.0,15207360.0,15653345.0,16106756.0,16561677.0,17014058.0,17462504.0,17908977.0,18357159.0,18812369.0,19278850.0,19756929.0,20246376.0,20750308.0,21272328.0,21814648.0,22379057.0,22963946.0,23563832.0,24170943.0,24779614.0,25387713.0,25996454.0,26607641.0,27224480.0,27849203.0,28481947.0,29121464.0,29767108.0,30417858.0
Gibraltar,36.137741,-5.345374,GI,29149.0,29021.0,28844.0,28680.0,28605.0,28688.0,28970.0,29404.0,29945.0,30526.0,31081.0,31604.0,32097.0,32556.0,32930.0,33222.0,33420.0,33524.0,33570.0,33562.0,33585.0,33608.0,33653.0,33694.0,33726.0,33742.0,33738.0,33723.0,33715.0,33706.0
Guinea,9.945587,-9.696645,GN,6352282.0,6534936.0,6716032.0,6897171.0,7081119.0,7269631.0,7463782.0,7662071.0,7860772.0,8054745.0,8240735.0,8417082.0,8586077.0,8753097.0,8925729.0,9109585.0,9307421.0,9518159.0,9738796.0,9964470.0,10192168.0,10420459.0,10652032.0,10892821.0,11150970.0,11432096.0,11738434.0,12067516.0,12414292.0,12771246.0
Gambia,13.443182,-15.310139,GM,955595.0,992671.0,1027476.0,1060861.0,1094219.0,1128577.0,1164091.0,1200522.0,1238124.0,1277118.0,1317708.0,1360070.0,1404263.0,1449925.0,1496524.0,1543745.0,1591444.0,1639846.0,1689288.0,1740277.0,1793199.0,1848142.0,1905020.0,1963708.0,2024037.0,2085860.0,2149134.0,2213900.0,2280092.0,2347696.0
